nuclides,reactions,groups,xs
Ni63,"(n,p)",1,1.0907564634905806e-05
Ni63,"(n,a)",1,1.91245183846115e-05
Ni63,"(n,3n)",1,0.0
Ni63,"(n,4n)",1,0.0
Ni63,fission,1,0.0
Ni64,"(n,gamma)",1,0.2220044752525991
Ni64,"(n,2n)",1,0.00020541397515525306
Ni64,"(n,p)",1,9.145855815349869e-07
Ni64,"(n,a)",1,7.392711732766848e-07
Ni64,"(n,3n)",1,7.941824556652615e-09
Ni64,"(n,4n)",1,0.0
Ni64,fission,1,0.0
Cu63,"(n,gamma)",1,0.7499621953968152
Cu63,"(n,2n)",1,3.932725548481122e-05
Cu63,"(n,p)",1,0.006545939575750504
Cu63,"(n,a)",1,0.00021733438029958646
Cu63,"(n,3n)",1,0.0
Cu63,"(n,4n)",1,0.0
Cu63,fission,1,0.0
Cu64,"(n,gamma)",1,0.13390844175984878
Cu64,"(n,2n)",1,0.0004449658388995487
Cu64,"(n,p)",1,80.93765333454276
Cu64,"(n,a)",1,0.00017318497576484612
Cu64,"(n,3n)",1,0.0
Cu64,"(n,4n)",1,0.0
Cu64,fission,1,0.0
Cu65,"(n,gamma)",1,0.3506939103300098
Cu65,"(n,2n)",1,0.0001297103768268424
Cu65,"(n,p)",1,0.00013793932557906946
Cu65,"(n,a)",1,1.4373137806161547e-05
Cu65,"(n,3n)",1,0.0
Cu65,"(n,4n)",1,0.0
Cu65,fission,1,0.0
Zn64,"(n,gamma)",1,0.1547613341229419
Zn64,"(n,2n)",1,7.701086120175942e-06
Zn64,"(n,p)",1,0.009998958032450033
Zn64,"(n,a)",1,0.0052278652820960765
Zn64,"(n,3n)",1,0.0
Zn64,"(n,4n)",1,0.0
Zn64,fission,1,0.0
Zn65,"(n,gamma)",1,10.070288230958777
Zn65,"(n,2n)",1,0.00036003006978275044
Zn65,"(n,p)",1,0.1893908816266412
Zn65,"(n,a)",1,0.5319693660388701
